TABLE SUBTITLE,NUMÉRO,PARAMÈTRE,UNITÉ
"Domaine de spécialisation 2 – Produits pour la surface des terres, Catégorie de paramètres 3: produits relatifs aux sols",18,Température du sol,K
"Domaine de spécialisation 2 – Produits pour la surface des terres, Catégorie de paramètres 3: produits relatifs aux sols",19,Humidité du sol,kg m-3
"Domaine de spécialisation 2 – Produits pour la surface des terres, Catégorie de paramètres 3: produits relatifs aux sols",20,Contenu en humidité du sol intégré sur la colonne,kg m-2
"Domaine de spécialisation 2 – Produits pour la surface des terres, Catégorie de paramètres 3: produits relatifs aux sols",21,Glace dans le sol,kg m-3
"Domaine de spécialisation 2 – Produits pour la surface des terres, Catégorie de paramètres 3: produits relatifs aux sols",22,Contenu en glace du sol intégré sur la colonne,kg m-2
"Domaine de spécialisation 2 – Produits pour la surface des terres, Catégorie de paramètres 3: produits relatifs aux sols",23,Eau liquide dans le manteau neigeux,kg m-2
"Domaine de spécialisation 2 – Produits pour la surface des terres, Catégorie de paramètres 3: produits relatifs aux sols",24,Indice de gel,K jour-1
"Domaine de spécialisation 2 – Produits pour la surface des terres, Catégorie de paramètres 3: produits relatifs aux sols",25,Épaisseur de neige par tranche d'altitude,kg m-2
"Domaine de spécialisation 2 – Produits pour la surface des terres, Catégorie de paramètres 3: produits relatifs aux sols",26,Flux de chaleur du sol,W m-2
"Domaine de spécialisation 2 – Produits pour la surface des terres, Catégorie de paramètres 3: produits relatifs aux sols",27,Profondeur du sol,m
"Domaine de spécialisation 2 – Produits pour la surface des terres, Catégorie de paramètres 3: produits relatifs aux sols",28-191,En réserve,
"Domaine de spécialisation 2 – Produits pour la surface des terres, Catégorie de paramètres 3: produits relatifs aux sols",192-254,En réserve pour un usage local,
"Domaine de spécialisation 2 – Produits pour la surface des terres, Catégorie de paramètres 3: produits relatifs aux sols",255,Valeur manquante,
"Domaine de spécialisation 2 – Produits pour la surface des terres, Catégorie de paramètres 4: produits relatifs aux conditions météorologiques propices aux incendies",0,Perspective d'incendie,Table de code 4.224
"Domaine de spécialisation 2 – Produits pour la surface des terres, Catégorie de paramètres 4: produits relatifs aux conditions météorologiques propices aux incendies",1,Perspective d'incendie due à un orage sans précipitations,Table de code 4.224
"Domaine de spécialisation 2 – Produits pour la surface des terres, Catégorie de paramètres 4: produits relatifs aux conditions météorologiques propices aux incendies",2,Indice de Haines,Numérique
"Domaine de spécialisation 2 – Produits pour la surface des terres, Catégorie de paramètres 4: produits relatifs aux conditions météorologiques propices aux incendies",3,Superficie brûlée par des incendies,%
"Domaine de spécialisation 2 – Produits pour la surface des terres, Catégorie de paramètres 4: produits relatifs aux conditions météorologiques propices aux incendies",4,Indice de Fosberg*,Numérique
"Domaine de spécialisation 2 – Produits pour la surface des terres, Catégorie de paramètres 4: produits relatifs aux conditions météorologiques propices aux incendies",5,Indice de danger de feu de forêt (Service canadien des forêts),Numérique
"Domaine de spécialisation 2 – Produits pour la surface des terres, Catégorie de paramètres 4: produits relatifs aux conditions météorologiques propices aux incendies",6,Indice du combustible léger (Service canadien des forêts),Numérique
"Domaine de spécialisation 2 – Produits pour la surface des terres, Catégorie de paramètres 4: produits relatifs aux conditions météorologiques propices aux incendies",7,Indice d'humidité de l'humus (Service canadien des forêts),Numérique
"Domaine de spécialisation 2 – Produits pour la surface des terres, Catégorie de paramètres 4: produits relatifs aux conditions météorologiques propices aux incendies",8,Indice de sécheresse (Service canadien des forêts),Numérique
"Domaine de spécialisation 2 – Produits pour la surface des terres, Catégorie de paramètres 4: produits relatifs aux conditions météorologiques propices aux incendies",9,Indice de propagation initiale (Service canadien des forêts),Numérique
"Domaine de spécialisation 2 – Produits pour la surface des terres, Catégorie de paramètres 4: produits relatifs aux conditions météorologiques propices aux incendies",10,Indice du combustible disponible (Service canadien des forêts),Numérique
"Domaine de spécialisation 2 – Produits pour la surface des terres, Catégorie de paramètres 4: produits relatifs aux conditions météorologiques propices aux incendies",11,Indice journalier de sévérité (Service canadien des forêts),Numérique
"Domaine de spécialisation 2 – Produits pour la surface des terres, Catégorie de paramètres 4: produits relatifs aux conditions météorologiques propices aux incendies",12-191,En réserve,
"Domaine de spécialisation 2 – Produits pour la surface des terres, Catégorie de paramètres 4: produits relatifs aux conditions météorologiques propices aux incendies",192-254,En réserve pour un usage local,
"Domaine de spécialisation 2 – Produits pour la surface des terres, Catégorie de paramètres 4: produits relatifs aux conditions météorologiques propices aux incendies",255,Valeur manquante,
"Domaine de spécialisation 2 – Produits pour la surface des terres, Catégorie de paramètres 5: glaciers et islandis",1,Température du glacier,K
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 0: produits-image",0,Valeur ajustée de la luminance énergétique,Numérique
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 0: produits-image",1,Valeur ajustée de l'albédo,Numérique
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 0: produits-image",2,Valeur ajustée de la température de luminance,Numérique
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 0: produits-image",3,Valeur ajustée de l'eau précipitable,Numérique
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 0: produits-image",4,Valeur ajustée de l'indice de soulèvement,Numérique
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 0: produits-image",5,Valeur ajustée de la pression au sommet des nuages,Numérique
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 0: produits-image",6,Valeur ajustée de la température pelliculaire,Numérique
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 0: produits-image",7,Masque de nuages,(Table de code 4.217)
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 0: produits-image",8,Type de scène formée de pixels,(Table de code 4.218)
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 0: produits-image",9,Indicateur de détection d'incendie,(Table de code 4.223)
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 0: produits-image",10-191,En réserve,
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 0: produits-image",192-254,En réserve pour un usage local,
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 0: produits-image",255,Valeur manquante,
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs",0,Estimation des précipitations,kg m-2
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs",1,Intensité instantanée des précipitations,kg m-2s-1
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs",2,Altitude du sommet des nuages,m
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs",3,Indicateur de qualité – Altitude du sommet des nuages,(Table de code 4.219)
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs",4,Composante u du vent – Estimation,m s-1
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs",5,Composante v du vent – Estimation,m s-1
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs",6,Nombre de pixels utilisés,Numérique
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs",7,Distance zénithale du soleil,°
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs",8,Azimut relatif,°
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs",9,"Réflectance dans le canal de 0,6 micron",%
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs",10,"Réflectance dans le canal de 0,8 micron",%
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs",11,"Réflectance dans le canal de 1,6 micron",%
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs",12,"Réflectance dans le canal de 3,9 micron",%
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs",13,Divergence de l'atmosphère,s-1
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs",14,Température de brillance par ciel nuageux,K
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs",15,Température de brillance par ciel clair,K
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs",16,Luminance énergétique par ciel nuageux (en fonction du nombre d'ondes),W m-1 sr-1
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs",17,Luminance énergétique par ciel clair (en fonction du nombre d'ondes),W m-1 sr-1
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs",18,En réserve,
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs",19,Vitesse du vent,m s-1
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs",20,"Épaisseur optique des aérosols à 0,635 µm",
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs",21,"Épaisseur optique des aérosols à 0,810 µm",
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs",22,"Épaisseur optique des aérosols à 1,640 µm",
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs",23,Coefficient d'Angström,
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs",24-26,En réserve,
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs",27,Facteur de réflexion bidirectionnelle (voir la note 1),Numérique
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs",28,Température de luminance,K
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs",29,Valeur ajustée de la luminance énergétique (voir la note 2),Numérique
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs",30-97,En réserve,
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs",98,"Coefficient de corrélation, dans le cas de capteurs multiples (MPE), entre les intensités de pluie obtenues dans l'infrarouge et celles basées sur des données hyperfréquence pour une zone commune de mesure",Numérique
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs",99,"Écart type, dans le cas de capteurs multiples, entre les intensités de pluie obtenues dans l'infrarouge et celles basées sur des données hyperfréquence pour une zone commune de mesure",kg m-2 s-1
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs",100-191,En réserve,
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs",192-254,En réserve pour un usage local,
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs",255,Valeur manquante,
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 2: propriétés des nuages",0,Probabilité de ciel clair,%
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 2: propriétés des nuages",1,Température au sommet des nuages,K
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 2: propriétés des nuages",2,Pression au sommet des nuages,Pa
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 2: propriétés des nuages",3,Type de nuage,(Table de code 4.218)
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 2: propriétés des nuages",4,Phase des nuages,(Table de code 4.218)
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 2: propriétés des nuages",5,Épaisseur optique du nuage,Numérique
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 2: propriétés des nuages",6,Rayon effectif des particules formant les nuages,m
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 2: propriétés des nuages",7,Colonne d'eau liquide dans les nuages,kg m-2
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 2: propriétés des nuages",8,Colonne d'eau solide dans les nuages,kg m-2
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 2: propriétés des nuages",9,Albédo des nuages,Numérique
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 2: propriétés des nuages",10,Émissivité des nuages,Numérique
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 2: propriétés des nuages",11,Rapport de l'épaisseur optique d'absorption effective,Numérique
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 2: propriétés des nuages",30,Coût des mesures,Numérique
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 2: propriétés des nuages",31,Épaisseur optique des nuages de la couche supérieure,Numérique
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 2: propriétés des nuages",32,Pression au sommet des nuages de la couche supérieure,Pa
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 2: propriétés des nuages",33,Rayon effectif des nuages de la couche supérieure,m
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 2: propriétés des nuages",34,Erreur concernant l'épaisseur optique des nuages de la couche supérieure,Numérique
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 2: propriétés des nuages",35,Erreur concernant la pression au sommet des nuages de la couche supérieure,Pa
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 2: propriétés des nuages",36,Erreur concernant le rayon effectif des nuages de la couche supérieure,m
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 2: propriétés des nuages",37,Épaisseur optique des nuages de la couche inférieure,Numérique
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 2: propriétés des nuages",38,Pression au sommet des nuages de la couche inférieure,Pa
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 2: propriétés des nuages",39,Erreur concernant l'épaisseur optique des nuages de la couche inférieure,Numérique
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 2: propriétés des nuages",40,Erreur concernant la pression au sommet des nuages de la couche inférieure,Pa
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 3: conditions propres aux règles de vol",0,Probabilité de rencontre de conditions nécessitant l'application des règles de vol à vue marginales,%
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 3: conditions propres aux règles de vol",1,Probabilité de rencontre de conditions nécessitant l'application des règles de vol aux instruments à bas niveau,%
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 3: conditions propres aux règles de vol",2,Probabilité de rencontre de conditions nécessitant l'application des règles de vol aux instruments,%
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 4: cendres volcaniques",0,Probabilité de rencontre de nuages de cendres volcaniques,%
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 4: cendres volcaniques",1,Température au sommet du nuage de cendres volcaniques,K
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 4: cendres volcaniques",2,Pression au sommet du nuage de cendres volcaniques,Pa
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 4: cendres volcaniques",3,Altitude du sommet du nuage de cendres volcaniques,m
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 4: cendres volcaniques",4,Émissivité du nuage de cendres volcaniques,Numérique
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 4: cendres volcaniques",5,Rapport de l'épaisseur optique d'absorption effective du nuage de cendres volcaniques,Numérique
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 4: cendres volcaniques",6,Épaisseur optique du nuage de cendres volcaniques,Numérique
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 4: cendres volcaniques",7,Masse surfacique des cendres volcaniques,kg m-2
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 4: cendres volcaniques",8,Rayon effectif des particules formant les cendres volcaniques,m
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 5: température de surface de la mer",0,Température de surface de la mer à l'interface air-mer (voir la note 1),K
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 5: température de surface de la mer",1,Température de surface de la mer pelliculaire (voir la note 2),K
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 5: température de surface de la mer",2,Température de surface de la mer sous-pelliculaire (voir la note 3),K
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 5: température de surface de la mer",3,Température de surface de la mer servant de fondement (voir la note 4),K
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 5: température de surface de la mer",4,Estimation du biais entre la température de surface de la mer et la valeur de référence,K
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 5: température de surface de la mer",5,Estimation de l'écart type entre la température de surface de la mer et la valeur de référence,K
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 6: rayonnement solaire",0,Éclairement énergétique solaire global (voir la note 1),W m-2
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 6: rayonnement solaire",1,Exposition solaire globale (voir la note 2),J m-2
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 6: rayonnement solaire",2,Éclairement énergétique solaire direct (voir la note 3),W m-2
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 6: rayonnement solaire",3,Exposition solaire directe (voir la note 4),J m-2
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 6: rayonnement solaire",4,Éclairement énergétique solaire diffus (voir la note 5),W m-2
"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 6: rayonnement solaire",5,Exposition solaire diffuse (voir la note 6),J m-2
TABLE SUBTITLE,NUMÉRO,PARAMÈTRE,UNITÉ
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",0,Spectre des vagues (1),–
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",1,Spectre des vagues (2),–
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",2,Spectre des vagues (3),–
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",3,Hauteur significative de la houle et des vagues de la mer du vent,m
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",4,Direction des vagues de la mer du vent,Degré vrai
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",5,Hauteur significative des vagues de la mer du vent,m
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",6,Période moyenne des vagues de la mer du vent,s
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",7,Direction de la houle,Degré vrai
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",8,Hauteur significative de la houle,m
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",9,Période moyenne de la houle,s
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",10,Direction de la vague dominante,Degré vrai
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",11,Période moyenne de la vague dominante,s
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",12,Direction de la vague secondaire,Degré vrai
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",13,Période moyenne de la vague secondaire,s
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",14,Direction de la houle et des vagues de la mer du vent,Degré vrai
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",15,Période moyenne de la houle et des vagues de la mer du vent,s
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",16,Coefficient de frottement pour les vagues,–
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",17,Vitesse de frottement,m s-1
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",18,Tension liée aux vagues,N m-2
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",19,Tension liée aux vagues normalisée,–
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",20,Moyenne quadratique de la pente des vagues,–
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",21,Dérive de Stokes en surface – composante u,m s-1
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",22,Dérive de Stokes en surface – composante v,m s-1
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",23,Période de la vague de hauteur maximale,s
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",24,Hauteur maximale d'une vague,m
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",25,Inverse de la fréquence moyenne – vagues,s
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",26,Inverse de la fréquence moyenne – mer du vent,s
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",27,Inverse de la fréquence moyenne – houle totale,s
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",28,Période moyenne au passage du niveau moyen – vagues,s
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",29,Période moyenne au passage du niveau moyen – mer du vent,s
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",30,Période moyenne au passage du niveau moyen – houle totale,s
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",31,Étalement directionnel – vagues,–
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",32,Étalement directionnel – mer du vent,–
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",33,Étalement directionnel – houle totale,–
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",34,Période pic – vagues,s
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",35,Période pic – mer du vent,s
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",36,Période pic – houle totale,s
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",37,Hauteur altimétrique des vagues,m
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",38,Hauteur altimétrique corrigée des vagues,m
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",39,Correction relative de la distance altimétrique,–
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",40,"Vitesse du vent à 10 m au-dessus des vagues, en atmosphère neutre",m s-1
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",41,Direction du vent à 10 m au-dessus des vagues,°
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",42,Spectre d'énergie des vagues,m² s rad-1
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",43,Aplatissement du niveau de la mer dû aux vagues,–
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",44,Indice Benjamin-Feir,–
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",45,Facteur de finesse du pic du spectre,s-1
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",46,Direction des vagues maximales,°
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",47,Hauteur significative des vagues pour la première partition de la houle,m
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",48,Hauteur significative des vagues pour la deuxième partition de la houle,m
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",49,Hauteur significative des vagues pour la troisième partition de la houle,m
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",50,Période moyenne des vagues pour la première partition de la houle,s
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",51,Période moyenne des vagues pour la deuxième partition de la houle,s
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",52,Période moyenne des vagues pour la troisième partition de la houle,s
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",53,Direction moyenne des vagues pour la première partition de la houle,°
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",54,Direction moyenne des vagues pour la deuxième partition de la houle,°
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",55,Direction moyenne des vagues pour la troisième partition de la houle,°
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",56,Étalement directionnel des vagues pour la première partition de la houle,–
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",57,Étalement directionnel des vagues pour la deuxième partition de la houle,–
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",58,Étalement directionnel des vagues pour la troisième partition de la houle,–
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",59,Étalement de la fréquence des vagues pour la première partition de la houle,–
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",60,Étalement de la fréquence des vagues pour la deuxième partition de la houle,–
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",61,Étalement de la fréquence des vagues pour la troisième partition de la houle,–
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",62,Étalement de la fréquence des vagues,–
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",63,Étalement de la fréquence des vagues de vent,–
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",64,Étalement de la fréquence de la houle totale,–
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",65-191,En réserve,–
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",192-254,En réserve pour un usage local,–
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",255,Valeur manquante,–
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 1: courants",0,Direction du courant,Degré vrai
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 1: courants",1,Vitesse du courant,m s-1
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 1: courants",2,Composante u du courant,m s-1
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 1: courants",3,Composante v du courant,m s-1
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 1: courants",4,Probabilité d'occurrence des vagues de courant,%
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 1: courants",5-191,En réserve,–
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 1: courants",192-254,En réserve pour un usage local,–
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 1: courants",255,Valeur manquante,–
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 2: glace",0,Proportion de glace,Proportion
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 2: glace",1,Épaisseur de la glace,m
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 2: glace",2,Direction de la dérive de la glace,Degré vrai
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 2: glace",3,Vitesse de la dérive de la glace,m s-1
