Title_es,SubTitle_es,CodeFlag,Value,MeaningParameterDescription_es,Note_es,noteIDs,UnitComments_es,Status
"Campo de especialización 1 Productos hidrológicos, categoría de parámetros 2: aguas interiores y propiedades de los sedimentos",,0,,Profundidad del agua,,,,Operational
"Campo de especialización 1 Productos hidrológicos, categoría de parámetros 2: aguas interiores y propiedades de los sedimentos",,1,,Temperatura del agua,,,,Operational
"Campo de especialización 1 Productos hidrológicos, categoría de parámetros 2: aguas interiores y propiedades de los sedimentos",,2,,Fracción de agua,,,,Operational
"Campo de especialización 1 Productos hidrológicos, categoría de parámetros 2: aguas interiores y propiedades de los sedimentos",,3,,Espesor de los sedimentos,,,,Operational
"Campo de especialización 1 Productos hidrológicos, categoría de parámetros 2: aguas interiores y propiedades de los sedimentos",,4,,Temperatura de los sedimentos,,,,Operational
"Campo de especialización 1 Productos hidrológicos, categoría de parámetros 2: aguas interiores y propiedades de los sedimentos",,5,,Espesor del hielo,,,,Operational
"Campo de especialización 1 Productos hidrológicos, categoría de parámetros 2: aguas interiores y propiedades de los sedimentos",,6,,Temperatura del hielo,,,,Operational
"Campo de especialización 1 Productos hidrológicos, categoría de parámetros 2: aguas interiores y propiedades de los sedimentos",,7,,Cobertura de hielo,,,,Operational
"Campo de especialización 1 Productos hidrológicos, categoría de parámetros 2: aguas interiores y propiedades de los sedimentos",,8,,"Cobertura terrestre (0=agua, 1=tierra)",,,,Operational
"Campo de especialización 1 Productos hidrológicos, categoría de parámetros 2: aguas interiores y propiedades de los sedimentos",,9,,Factor de forma respecto del perfil de salinidad,,,,Operational
"Campo de especialización 1 Productos hidrológicos, categoría de parámetros 2: aguas interiores y propiedades de los sedimentos",,0,,Factor de forma respecto del perfil de temperatura en la termoclina,,,,Operational
"Campo de especialización 1 Productos hidrológicos, categoría de parámetros 2: aguas interiores y propiedades de los sedimentos",,11,,Coeficiente de atenuación del agua respecto de la radiación solar,,,,Operational
"Campo de especialización 1 Productos hidrológicos, categoría de parámetros 2: aguas interiores y propiedades de los sedimentos",,12,,Salinidad,,,,Operational
"Campo de especialización 1 Productos hidrológicos, categoría de parámetros 2: aguas interiores y propiedades de los sedimentos",,13,,Sección transversal de flujo en el caudal,,,,Operational
"Campo de especialización 1 Productos hidrológicos, categoría de parámetros 2: aguas interiores y propiedades de los sedimentos",,14,,Temperatura de la nieve,,,,Operational
"Campo de especialización 1 Productos hidrológicos, categoría de parámetros 2: aguas interiores y propiedades de los sedimentos",,15-191,,Reservados,,,,Operational
"Campo de especialización 1 Productos hidrológicos, categoría de parámetros 2: aguas interiores y propiedades de los sedimentos",,192-254,,Reservados para uso local,,,,Operational
"Campo de especialización 1 Productos hidrológicos, categoría de parámetros 2: aguas interiores y propiedades de los sedimentos",,255,,Valor faltante,,,,Operational
