Title_es,SubTitle_es,CodeFlag,Value,MeaningParameterDescription_es,Note_es,noteIDs,UnitComments_es,Status
Tabla de cifrado 5.7 - Precisión de los números con coma flotante,,,,Reservada,,,,Operational
Tabla de cifrado 5.7 - Precisión de los números con coma flotante,,,,IEEE de 32 bits (I=4 en la Sección 7),,,,Operational
Tabla de cifrado 5.7 - Precisión de los números con coma flotante,,,,IEEE de 64 bits (I=8 en la Sección 7),,,,Operational
Tabla de cifrado 5.7 - Precisión de los números con coma flotante,,,,IEEE de 128 bits (I=16 en la Sección 7),,,,Operational
Tabla de cifrado 5.7 - Precisión de los números con coma flotante,,,,Reservadas,,,,Operational
Tabla de cifrado 5.7 - Precisión de los números con coma flotante,,,,Valor faltante,,,,Operational
