Title_es,SubTitle_es,CodeFlag,Value,MeaningParameterDescription_es,Note_es,noteIDs,UnitComments_es,Status
Tabla de cifrado 5.2 – Definición de la función de los valores de las coordenadas matriciales,,,,Juego de valores de coordenadas explícitas,,,,Operational
Tabla de cifrado 5.2 – Definición de la función de los valores de las coordenadas matriciales,,,,Coordenadas lineales f(1) = C1 f(n) = f(n-1) + C2,,,,Operational
Tabla de cifrado 5.2 – Definición de la función de los valores de las coordenadas matriciales,,,,Reservadas,,,,Operational
Tabla de cifrado 5.2 – Definición de la función de los valores de las coordenadas matriciales,,,,Coordenadas geométricas f(1) = C1 f(n) = C2 x f(n-1),,,,Operational
Tabla de cifrado 5.2 – Definición de la función de los valores de las coordenadas matriciales,,,,Reservadas,,,,Operational
Tabla de cifrado 5.2 – Definición de la función de los valores de las coordenadas matriciales,,,,Reservadas para uso local,,,,Operational
Tabla de cifrado 5.2 – Definición de la función de los valores de las coordenadas matriciales,,,,Valor faltante,,,,Operational
