Title_es,SubTitle_es,CodeFlag,Value,MeaningParameterDescription_es,Note_es,noteIDs,UnitComments_es,Status
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 5: radiación de onda larga",,0,,Flujo neto de la radiación de onda larga (superficie)*,,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 5: radiación de onda larga",,1,,Flujo neto de la radiación de onda larga* (capa superior de la atmósfera),,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 5: radiación de onda larga",,2,,Flujo de la radiación de onda larga*,,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 5: radiación de onda larga",,3,,Flujo de la radiación de onda larga descendente,,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 5: radiación de onda larga",,4,,Flujo de la radiación de onda larga ascendente,,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 5: radiación de onda larga",,5,,Flujo neto de la radiación de onda larga,,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 5: radiación de onda larga",,6,,Flujo neto de la radiación de onda larga en cielo despejado,,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 5: radiación de onda larga",,7,,Temperatura de luminancia,,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 5: radiación de onda larga",,8,,"Flujo de la radiación de onda larga descendente, cielo claro",,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 5: radiación de onda larga",,9-191,,Reservados,,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 5: radiación de onda larga",,192-254,,Reservados para uso local,,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 5: radiación de onda larga",,255,,Valor faltante,,,,Operational
