Title_es,SubTitle_es,CodeFlag,Value,MeaningParameterDescription_es,Note_es,noteIDs,UnitComments_es,Status
"Campo de especialización 10 — Productos oceanográficos, categoría de parámetros 1: corrientes",,0,,Dirección de la corriente,,,grado verdadero,Operational
"Campo de especialización 10 — Productos oceanográficos, categoría de parámetros 1: corrientes",,1,,Velocidad de la corriente,,,m s-1,Operational
"Campo de especialización 10 — Productos oceanográficos, categoría de parámetros 1: corrientes",,2,,Componente u de la corriente,,,m s-1,Operational
"Campo de especialización 10 — Productos oceanográficos, categoría de parámetros 1: corrientes",,3,,Componente v de la corriente,,,m s-1,Operational
"Campo de especialización 10 — Productos oceanográficos, categoría de parámetros 1: corrientes",,4,,Probabilidad de ocurrencia de corrientes de resaca,,,%,Operational
"Campo de especialización 10 — Productos oceanográficos, categoría de parámetros 1: corrientes",,5-191,,Reservados,,,,Operational
"Campo de especialización 10 — Productos oceanográficos, categoría de parámetros 1: corrientes",,192-254,,Reservados para uso local,,,,Operational
"Campo de especialización 10 — Productos oceanográficos, categoría de parámetros 1: corrientes",,255,,Valor faltante,,,,Operational
