Title_es,SubTitle_es,CodeFlag,Value,MeaningParameterDescription_es,Note_es,noteIDs,UnitComments_es,Status
Tabla de cifrado 5.1 – Tipo de valores del campo de origen,,,,Coma flotante,,,,Operational
Tabla de cifrado 5.1 – Tipo de valores del campo de origen,,,,Número entero,,,,Operational
Tabla de cifrado 5.1 – Tipo de valores del campo de origen,,,,Reservadas,,,,Operational
Tabla de cifrado 5.1 – Tipo de valores del campo de origen,,,,Reservadas para uso local,,,,Operational
Tabla de cifrado 5.1 – Tipo de valores del campo de origen,,,,Valor faltante,,,,Operational
