Title_es,SubTitle_es,CodeFlag,Value,MeaningParameterDescription_es,Note_es,noteIDs,UnitComments_es,Status
"Campo de especialización 3 Productos espaciales, categoría de parámetros 4: cenizas volcánicas",,0,,Probabilidad de cenizas volcánicas,,,%,Operational
"Campo de especialización 3 Productos espaciales, categoría de parámetros 4: cenizas volcánicas",,1,,Temperatura de la cima de la nube de cenizas volcánicas,,,K,Operational
"Campo de especialización 3 Productos espaciales, categoría de parámetros 4: cenizas volcánicas",,2,,Presión en la cima de la nube de cenizas volcánicas,,,Pa,Operational
"Campo de especialización 3 Productos espaciales, categoría de parámetros 4: cenizas volcánicas",,3,,Altura de la cima de la nube de cenizas volcánicas,,,m,Operational
"Campo de especialización 3 Productos espaciales, categoría de parámetros 4: cenizas volcánicas",,4,,Emisividad de la nube de cenizas volcánicas,,,Numérica,Operational
"Campo de especialización 3 Productos espaciales, categoría de parámetros 4: cenizas volcánicas",,5,,Coeficiente de profundidad óptica de absorción efectiva de la ceniza volcánica,,,Numérica,Operational
"Campo de especialización 3 Productos espaciales, categoría de parámetros 4: cenizas volcánicas",,6,,Profundidad óptica de la nube de cenizas volcánicas,,,Numérica,Operational
"Campo de especialización 3 Productos espaciales, categoría de parámetros 4: cenizas volcánicas",,7,,Densidad de la columna de ceniza volcánica,,,kg m-2,Operational
"Campo de especialización 3 Productos espaciales, categoría de parámetros 4: cenizas volcánicas",,8,,Radio efectivo de las partículas de ceniza volcánica,,,m,Operational
