Title_es,SubTitle_es,CodeFlag,Value,MeaningParameterDescription_es,Note_es,noteIDs,UnitComments_es,Status
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",,0,,Concentración en el aire de cesio 137,,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",,1,,Concentración en el aire de yodo 131,,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",,2,,Concentración en el aire de contaminante radiactivo,,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",,3,,Deposición en el suelo de cesio 137,,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",,4,,Deposición en el suelo de yodo 131,,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",,5,,Deposición en el suelo de contaminante radiactivo,,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",,6,,Concentración en el aire integrada en el tiempo de contaminante de cesio (véase la nota 1),,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",,7,,Concentración en el aire integrada en el tiempo de contaminante de yodo (véase la nota 1),,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",,8,,Concentración en el aire integrada en el tiempo de contaminante radiactivo (véase la nota 1),,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",,9,,Reservado,,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",,10,,Concentración en el aire (véase la nota 2),,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",,11,,Deposición húmeda,,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",,12,,Deposición seca,,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",,13,,Deposición total (húmeda y seca),,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",,14,,Concentración de actividad específica (véase la nota 2),,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",,15,,Máximo de concentración en el aire en la capa,,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",,16,,Altura de la concentración en el aire máxima,,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",,17,,Concentración en el aire integrado en columna,,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",,18,,Concentración media en el aire en la columna de la capa,,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",,19-191,,Reservados,,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",,192-254,,Reservados para uso local,,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",,255,,Valor faltante,,,,Operational
