Title_fr,OctetNo,OctetCount,Contents_fr,Note_fr,noteIDs,codeTable,flagTable,Status
Modèle de représentation des données 5.61 — Données aux points de grille — compression simple après traitement logarithmique,12-15,,Valeur de référence (R) (valeur en virgule flottante IEEE 32 bits),,,,,Operational
Modèle de représentation des données 5.61 — Données aux points de grille — compression simple après traitement logarithmique,16-17,,Facteur d'échelle binaire (E),,,,,Operational
Modèle de représentation des données 5.61 — Données aux points de grille — compression simple après traitement logarithmique,18-19,,Facteur d'échelle décimale (D),,,,,Operational
Modèle de représentation des données 5.61 — Données aux points de grille — compression simple après traitement logarithmique,20,,Nombre de bits utilisés pour chaque valeur compressée,,,,,Operational
Modèle de représentation des données 5.61 — Données aux points de grille — compression simple après traitement logarithmique,21-24,,Paramètre de traitement préalable (B) (valeur en virgule flottante IEEE 32 bits),,,,,Operational
