Title_fr,SubTitle_fr,CodeFlag,Value,MeaningParameterDescription_fr,Note_fr,noteIDs,UnitComments_fr,Status
Table de code 4.16 – Valeur relative à la qualité associée au paramètre,,0,,Indice de confiance (voir la note 2),"Lorsqu'une valeur non manquante est utilisée dans cette table de code, la valeur initiale des données est une valeur relative à la qualité associée au paramètre défini par les octets 10 et 11 du modèle de définition du produit. La valeur initiale des données s'exprime sous la forme d'un nombre non dimensionnel compris entre 0 et 1, où 0 indique le degré zéro de confiance et 1, le degré maximal de confiance.",,,Operational
Table de code 4.16 – Valeur relative à la qualité associée au paramètre,,1,,Indicateur de qualité (voir la note 3 et la table de code 4.244),"Lorsqu'une valeur non manquante est utilisée dans cette table de code, la valeur initiale des données est une valeur relative à la qualité associée au paramètre défini par les octets 10 et 11 du modèle de définition du produit. La valeur initiale des données est définie dans la table de code 4.244.",,,Operational
Table de code 4.16 – Valeur relative à la qualité associée au paramètre,,2,,Corrélation entre le produit et le produit d'étalonnage utilisé (voir la note 4),"Lorsqu'une valeur non manquante est utilisée dans cette table de code, la valeur initiale des données est une valeur relative à la qualité associée au paramètre défini par les octets 10 et 11 du modèle de définition du produit. La valeur initiale des données s'exprime sous forme numérique non dimensionnelle sans unité.",,,Operational
Table de code 4.16 – Valeur relative à la qualité associée au paramètre,,3,,Écart-type (voir la note 5),"Lorsqu'une valeur non manquante est utilisée dans cette table de code, la valeur initiale des données est une valeur relative à la qualité associée au paramètre défini par les octets 10 et 11 du modèle de définition du produit. La valeur initiale des données s'exprime dans la même unité que le paramètre défini par les octets 10 et 11 du modèle de définition du produit.",,,Operational
Table de code 4.16 – Valeur relative à la qualité associée au paramètre,,4,,Erreur aléatoire (voir la note 5),"Lorsqu'une valeur non manquante est utilisée dans cette table de code, la valeur initiale des données est une valeur relative à la qualité associée au paramètre défini par les octets 10 et 11 du modèle de définition du produit. La valeur initiale des données s'exprime dans la même unité que le paramètre défini par les octets 10 et 11 du modèle de définition du produit.",,,Operational
Table de code 4.16 – Valeur relative à la qualité associée au paramètre,,5-191,,En réserve,,,,Operational
Table de code 4.16 – Valeur relative à la qualité associée au paramètre,,192-254,,En réserve pour un usage local,,,,Operational
Table de code 4.16 – Valeur relative à la qualité associée au paramètre,,255,,Valeur manquante,,,,Operational
